id,encounter_duration,rotation,spec,buffs,gear_set,num_spell_casts_avg,hit_chance_avg,crit_chance_avg,ending_mana_avg,dps_avg,dps_avg_change
18.0,120.0,KS LB R3,16/0/0 + Lava Burst + Shamanistic Rage,Spell Hit,Pre-BiS Lvl 25 (Classic),43.0,0.8841860465116284,0.2390697674418605,41.000000000000455,55.451710257475135,5.511098159260811
17.0,120.0,KS LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Spell Hit,Pre-BiS Lvl 25 (Classic),33.0,0.8693939393939384,0.2454545454545455,28.50000000000047,54.870255892857195,4.929643794642871
22.0,120.0,KS LB R3,16/0/0 + Lava Burst + Shamanistic Rage,Mp5,Pre-BiS Lvl 25 (Classic),46.0,0.8002173913043474,0.2210869565217391,46.00000000000042,54.37289146283231,4.432279364617983
1.0,120.0,KS LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Intellect,Pre-BiS Lvl 25 (Classic),35.0,0.7874285714285711,0.24171428571428535,2.0000000000004547,54.16754683139536,4.226934733181039
19.0,120.0,KS LB R2,16/0/0 + Lava Burst + Shamanistic Rage,Spell Hit,Pre-BiS Lvl 25 (Classic),50.0,0.8916,0.2536,52.50000000000036,54.08501279588873,4.144400697674406
21.0,120.0,KS LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Mp5,Pre-BiS Lvl 25 (Classic),36.0,0.7836111111111113,0.2294444444444444,6.500000000000455,54.08494198920266,4.144329890988338
2.0,120.0,KS LB R3,16/0/0 + Lava Burst + Shamanistic Rage,Intellect,Pre-BiS Lvl 25 (Classic),45.0,0.7942222222222217,0.2064444444444441,20.000000000000455,51.967899263912,2.027287165697679
23.0,120.0,KS LB R2,16/0/0 + Lava Burst + Shamanistic Rage,Mp5,Pre-BiS Lvl 25 (Classic),55.0,0.7914545454545455,0.21927272727272734,40.500000000000455,51.80453239721762,1.863920299003297
9.0,120.0,KS LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Spell Power,Pre-BiS Lvl 25 (Classic),33.0,0.7821212121212114,0.22636363636363652,58.50000000000059,51.37263479235879,1.4320226941444645
16.0,120.0,LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Spell Hit,Pre-BiS Lvl 25 (Classic),33.0,0.9290909090909081,0.12515151515151518,52.5,51.008400892857125,1.0677887946428015
10.0,120.0,KS LB R3,16/0/0 + Lava Burst + Shamanistic Rage,Spell Power,Pre-BiS Lvl 25 (Classic),43.0,0.7881395348837212,0.2118604651162791,71.00000000000027,50.94923246850774,1.0086203702934142
3.0,120.0,KS LB R2,16/0/0 + Lava Burst + Shamanistic Rage,Intellect,Pre-BiS Lvl 25 (Classic),54.0,0.8001851851851848,0.21481481481481482,36.000000000000455,50.86082087416944,0.9202087759551176
20.0,120.0,LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Mp5,Pre-BiS Lvl 25 (Classic),37.0,0.8216216216216222,0.11837837837837836,22.5,50.767779464285724,0.8271673660714001
13.0,120.0,KS LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Spell Crit,Pre-BiS Lvl 25 (Classic),33.0,0.7769696969696964,0.2863636363636365,28.50000000000047,50.755247483388736,0.8146353851744124
0.0,120.0,LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Intellect,Pre-BiS Lvl 25 (Classic),36.0,0.8375000000000005,0.115,0.0,50.29322053571428,0.35260843749995985
14.0,120.0,KS LB R3,16/0/0 + Lava Burst + Shamanistic Rage,Spell Crit,Pre-BiS Lvl 25 (Classic),43.0,0.7827906976744188,0.28441860465116275,41.000000000000455,50.27750947051498,0.33689737230065475
11.0,120.0,KS LB R2,16/0/0 + Lava Burst + Shamanistic Rage,Spell Power,Pre-BiS Lvl 25 (Classic),50.0,0.7988000000000001,0.23859999999999992,82.50000000000024,50.140131410229785,0.19951931201546103
5.0,120.0,KS LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Spirit,Pre-BiS Lvl 25 (Classic),33.0,0.7860606060606053,0.2290909090909093,28.50000000000047,50.005882209302364,0.06527011108804004
15.0,120.0,KS LB R2,16/0/0 + Lava Burst + Shamanistic Rage,Spell Crit,Pre-BiS Lvl 25 (Classic),50.0,0.7953999999999998,0.28780000000000006,52.50000000000036,49.20064401993358,-0.7399680782807465
6.0,120.0,KS LB R3,16/0/0 + Lava Burst + Shamanistic Rage,Spirit,Pre-BiS Lvl 25 (Classic),43.0,0.788837209302326,0.21139534883720926,41.000000000000455,49.15746683866279,-0.7831452595515316
7.0,120.0,KS LB R2,16/0/0 + Lava Burst + Shamanistic Rage,Spirit,Pre-BiS Lvl 25 (Classic),50.0,0.7956,0.2288,52.50000000000036,48.19842674937711,-1.7421853488372108
12.0,120.0,LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Spell Crit,Pre-BiS Lvl 25 (Classic),33.0,0.8360606060606051,0.18121212121212135,52.5,47.780063392857116,-2.1605487053572077
8.0,120.0,LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Spell Power,Pre-BiS Lvl 25 (Classic),33.0,0.8242424242424236,0.10212121212121217,52.5,47.41809553571431,-2.522516562500016
4.0,120.0,LB R4,16/0/0 + Lava Burst + Shamanistic Rage,Spirit,Pre-BiS Lvl 25 (Classic),33.0,0.8181818181818179,0.10181818181818184,52.5,44.555067857142824,-5.3855442410715
